ID,Teff,logg,Tmag
230073581,3923.0,4.60936,6.9707
256419669,3629.0,4.70255,7.59661
409527090,3782.0,4.66767,7.64213
379084450,3452.0,4.76911,7.7547
125736050,3842.0,4.64973,7.90618
219780306,3753.0,4.68526,8.16639
436856183,3430.0,4.85586,8.27767
427555426,3941.0,4.59949,8.28646
178078333,3669.0,4.66404,8.36498
407210683,3709.0,4.72043,8.67229
251281112,3766.0,4.64996,8.68588
256316623,3523.0,4.83556,8.71256
374029463,3445.0,4.78819,8.74783
385254633,3581.0,4.7739,8.91954
312545623,3894.0,4.73933,9.02372
101222257,3959.0,4.64781,9.06998
385254626,3549.0,4.78315,9.07414
20766994,3794.0,4.65337,9.08289
116489282,3710.0,4.67393,9.12441
407574350,3620.0,4.71428,9.14675
264222219,3804.0,4.72731,9.21523
436883712,3714.0,4.67696,9.24129
407457205,3626.0,4.75637,9.35335
29015116,3930.0,4.62735,9.42726
396677530,3943.0,4.63741,9.42887
327729815,3543.0,4.66925,9.43758
246975019,3809.0,4.66842,9.4569
256746748,3999.0,4.58869,9.45912
272335628,3682.0,4.64067,9.46004
424118400,3951.0,4.62876,9.46454
461408984,3835.0,4.62319,9.4702
251333140,3494.0,4.74083,9.47348
397367857,3914.0,4.671,9.50042
316965103,3897.0,4.56713,9.50285
219822564,3837.0,4.64905,9.50387
117502080,3681.0,4.70496,9.53511
192464657,3872.0,4.66229,9.55024
54202213,3775.0,4.70238,9.55683
331725581,3935.0,4.66289,9.5734
236899387,3979.0,4.57209,9.5804
118444304,3946.61,4.44812,9.608
229552665,3858.0,4.64938,9.62394
343564093,3789.0,4.78041,9.63991
418175966,3491.0,4.73103,9.67731
229589015,3882.0,4.65663,9.68528
256324377,3652.0,4.66497,9.68774
428666898,3875.0,4.68548,9.68913
470943473,3622.0,4.75096,9.69448
28831845,3990.0,4.56352,9.7252
279606581,3567.0,4.82329,9.72908
21120590,3700.0,4.69918,9.74719
247009124,3759.0,4.57087,9.7509
334802883,3655.0,4.75415,9.77391
407055622,3542.0,4.69734,9.77931
28833320,3623.0,4.78494,9.82642
331609888,3680.0,4.6959,9.84442
405415381,3736.0,4.69521,9.88641
235928353,3805.0,4.65071,9.91644
229742951,3590.0,4.64692,9.94056
357032546,3727.0,4.64458,9.95622
264615805,3901.0,4.66524,9.96265
268319776,3657.0,4.7984,9.98978
458775752,3381.0,4.81304,9.99731
390171290,3656.0,4.59411,10.0022
233051394,3864.0,4.68453,10.0085
272785770,3534.0,4.74657,10.0091
264052522,3445.0,4.63604,10.0162
461496554,3947.0,4.57065,10.0241
250602194,3346.0,4.84196,10.0316
293066086,3911.0,4.55331,10.0389
356735146,3680.0,4.75693,10.0407
445638121,3783.0,4.66182,10.0562
458889878,3666.0,4.81344,10.0589
82238855,3993.0,4.62432,10.0877
387676042,3616.0,4.73546,10.0946
407415127,3768.0,4.64972,10.0998
235928358,3737.0,4.67155,10.1017
292605805,3718.0,4.64853,10.1148
385198959,3692.0,4.65866,10.1272
367337817,3605.0,4.81624,10.1294
