TIC_ID,Teff,logg,Tmag,LS_Period,LS_Power,ACF_Period,Final_Period,Flag,Variability,R_score,rotation_reliability
230073581,3923.0,4.60936,6.9707,9.8449,0.000595,10.25,9.8449,Match,0.000579,2,Medium
256419669,3629.0,4.70255,7.59661,9.9533,0.000811,9.5,9.9533,Match,0.000684,2,Medium
409527090,3782.0,4.66767,7.64213,9.9415,0.000349,8.9167,9.9415,Match,0.000303,1,Low
379084450,3452.0,4.76911,7.7547,10.8568,0.000447,0.5833,10.8568,Match,0.00052,1,Low
125736050,3842.0,4.64973,7.90618,8.4809,0.000572,,8.4809,LS_only,0.000684,0,Very_Low
219780306,3753.0,4.68526,8.16639,7.8814,0.000349,14.9167,14.9167,Harmonic_Corrected,0.000398,1,Low
436856183,3430.0,4.85586,8.27767,4.7659,0.000116,,4.7659,LS_only,0.000192,0,Very_Low
427555426,3941.0,4.59949,8.28646,11.9748,0.001111,10.8333,11.9748,Match,0.000943,2,Medium
178078333,3669.0,4.66404,8.36498,5.158,6.6e-05,,5.158,LS_only,0.000151,0,Very_Low
407210683,3709.0,4.72043,8.67229,10.8779,0.000393,10.1667,10.8779,Match,0.000494,2,Medium
251281112,3766.0,4.64996,8.68588,2.8776,0.000332,,2.8776,LS_only,0.000644,0,Very_Low
256316623,3523.0,4.83556,8.71256,13.3125,0.000518,13.0,13.3125,Match,0.00057,2,Medium
374029463,3445.0,4.78819,8.74783,4.3789,0.000484,13.0,4.3789,Match,0.000875,1,Low
385254633,3581.0,4.7739,8.91954,6.9802,0.000329,6.75,6.9802,Match,0.000375,2,Medium
312545623,3894.0,4.73933,9.02372,10.8568,0.000247,1.0833,10.8568,Match,0.000292,1,Low
101222257,3959.0,4.64781,9.06998,9.0659,0.000568,,9.0659,LS_only,0.000669,0,Very_Low
385254626,3549.0,4.78315,9.07414,6.9802,0.000365,6.6667,6.9802,Match,0.000403,2,Medium
20766994,3794.0,4.65337,9.08289,6.2518,0.000198,12.75,12.75,Harmonic_Corrected,0.000263,1,Low
116489282,3710.0,4.67393,9.12441,7.4211,6.3e-05,,7.4211,LS_only,0.000159,0,Very_Low
407574350,3620.0,4.71428,9.14675,9.0789,0.00022,,9.0789,LS_only,0.000371,0,Very_Low
264222219,3804.0,4.72731,9.21523,9.1304,0.000316,,9.1304,LS_only,0.000444,0,Very_Low
436883712,3714.0,4.67696,9.24129,10.8673,7.5e-05,,10.8673,LS_only,0.000158,0,Very_Low
407457205,3626.0,4.75637,9.35335,10.8568,0.000412,0.75,10.8568,Match,0.000481,1,Low
29015116,3930.0,4.62735,9.42726,11.9405,0.000561,0.8333,11.9405,Match,0.000657,1,Low
396677530,3943.0,4.63741,9.42887,3.6713,0.000151,,3.6713,LS_only,0.000347,0,Very_Low
327729815,3543.0,4.66925,9.43758,4.2323,0.004442,8.0833,8.0833,Harmonic_Corrected,0.006504,2,Medium
246975019,3809.0,4.66842,9.4569,10.8779,0.001335,,10.8779,LS_only,0.002782,0,Very_Low
256746748,3999.0,4.58869,9.45912,11.9318,0.002488,12.8333,11.9318,Match,0.002831,3,High
